entry,type
Teresa Foscari Foscolo,person
Vitaliano Brancati,person
Giovanni Macchia,person
Manlio Cancogni,person
New York Times,institution
US Army,institution
Office of War Information,institution
Psychological Warfare Branch,institution
Italia Nostra,institution
Carlo Luigi Golino,person
"Lowry Nelson, Jr",person
Pier Maria Pasinetti,person
Charles Speroni,person
Michael De Filippis,person
Mario Pei,person
Charles S Singleton,person
Carlo Goldoni,person
Ugo Foscolo,person
Dino Campana,person
Italo Svevo,person
Salvatore Quasimodo,person
Giovanni Verga,person
Dante,person
Richard Wilbur,person
Anthony Hecht,person
William Jay Smith,person
WH Auden,person
Vincent Luciani,person
Mario Soldati,person
Dante della Terza,person
Thomas Bergin,person
UC Los Angeles,institution
UC Riverside,institution
University of Massachusetts,institution
Dante Society of America,institution
UC Berkeley,institution
City University of New York,institution
L'Espresso,institution
Johns Hopkins University,institution
Rutgers University,institution
Margherita Santi Farina,person
Masolino d'Amico,person
Luigi Pirandello,person
Gaetano Salvemini,person
Leo Stein,person
Bernard Berenson,person
Villa I Tatti,institution
Salzburg Seminar in American Studies,institution
Giovanni Ansaldo,person
Indro Montanelli,person
Dino Buzzati,person
Alan Furst,person
Langston Hughes,person
Charles Jackson,person
Willa Cather,person
Ennio Flaiano,person
John Lehman,person
Sheila Cudahy,person
Jules Dassin,person
Giuliano Montaldo,person
Claudio Gora,person
Luigi Bartolini,person
Giovanni Comisso,person
Giuseppe Marotta,person
Mario Laboccetta,person
Mario Spagnol,person
Il Cammeo,institution
Pellegrini & Cudahy,institution
Signet Books,institution
New American Library,institution
Macmillan Company,institution
Academy Award,institution
Messaggerie Italiane,institution
Angelo Rizzoli,person
Federico Fellini,person
Luchino Visconti,person
Riccardo Bacchelli,person
Giovanni Guareschi,person
Vincenzo Trubridge,person
Frances Frenaye,person
Keith Jennison,person
Leo de Castelnovo,person
Guido Tallone,person
Martin Scorsese,person
Giorgio Cavaglieri,person
Marella Agnelli,person
Biblioteca Universale Rizzoli,institution
UNESCO,institution
Cineriz,institution
Graded Italian Reader Second Stage,institution
DC Heath and Company,institution
The New York Times,institution
Italian Week on Fifth Avenue,institution
Italian American Week,institution
Arnoldo Mondadori Editore,institution
Giovanni Gentile,person
Giaime Pintor,person
Bruno Zevi,person
Franco Modigliani,person
Max Ascoli,person
Alberto Tarchiani,person
Elizabeth Bogert,person
Ennio Caretto,person
Arturo Zampaglione,person
Vittorio Ivella,person
Stefano Eco,person
University of Rome,institution
Oggi,institution
George Howe,person
Louis Kahn,person
Michael Graves,person
Pietro Belluschi,person
Robert Venturi,person
Alfred H Barr,person
Leonard Bernstein,person
Pier Luigi Nervi,person
Gian Carlo Menotti,person
Louis Simpson,person
Richard Meier,person
Rome Prize,institution
Pulitzer Prize,institution
Pritzker Prize,institution
William Fense Weaver,person
Ugo Moretti,person
Carlo Emilio Gadda,person
Raffaele La Capria,person
Charles T Davis,person
Raymond Grew,person
Octavian Augustus,person
Marcus Aurelius,person
Luca Cambiaso,person
Parmigianino,person
Giambattista Tiepolo,person
Amedeo Modigliani,person
Vittore Carpaccio,person
Michelangelo,person
Gian Lorenzo Bernini,person
Nobel Prize,institution
Unita d'Italia Prize,institution
Princeton University Press,institution
Princeton University Art Museum,institution
Margaret Leonora Eyles,person
David L Murray,person
Vivyan Leonora Eyles,person
Mario Praz,person
Wolfgang Fritz Volbach,person
Angus Davidson,person
Times Literary Supplement,institution
"St Hugh's College, Oxford",institution
University of Liverpool,institution
La Sapienza,institution
Secker & Warburg,institution
Penguin,institution
Bayard Cutting,institution
Sybil Cuffe,institution
Edith Wharton,person
George Santayana,person
Antonio Origo,person
Cecil Pinsent,person
Virginia Woolf,person
Leonard Woolf,person
Giacomo Leopardi,person
Cola di Rienzo,person
Lauro de Bosis,person
Ruth Draper,person
Francesco Datini,person
Lord Byron,person
Teresa Guiccioli,person
Elena Croce,person
Giovanna Benzoni,person
Sunday Times,institution
Villa Medici,institution
Hogarth Press,institution
New York Review Classics,institution
Radcliffe College,institution
The Atlantic Monthly,institution
Cornhill Magazine,institution
