entry,type
Giacomo Etna,person
Novella di Teresah,person
Maria Donati ,person
Luciano Zuccoli,person
Ada Renni,person
Cosimo Giorgieri Contri,person
Giovanni Pascoli,person
Luisa Giuliani,person
Dina Faivano,person
CA Faivano,person
Mario La Stella,person
Antonia Benanti,person
Guido Rivoli,person
Pia Rimini,person
Luigi Orsini,person
L Mandula,person
M Guarraci,person
Giulio Orsini,person
Giorgio Mariani,person
G Bocacchi,person
G Di Giacomo,person
Giuseppe Marotta,person
Trilussa,person
Amanda Guglielminetti,person
Pietro Greco,person
Doris Anny,person
Francis Marion Crawford,person
C Giacchetti,person
Paolo Nalti,person
Marise Ferro,person
Felice Soffre',person
Alberto Zuccari,person
Giulio Ardenghi,person
Giosue' Di Leo,person
Maria Gianpietro,person
Franco Sacchetti,person
Edoardo Ferrante,person
Aldo Mastri,person
Rodolfio Mancini,person
Tito Alippi,person
Bernard M Baruch,person
Italo Stanco,person
Gino Bufo,person
Lia Jeno,person
Argentina Brunetti,person
Eligio G Barberis,person
R Sabatino,person
G D'Attili,person
Sylvia Miller Valenti,person
Salvatore Viola,person
A Restelli,person
Dora R,person
Giorgio Padovani,person
Luigi Balzano Conti,person
Helen Mandrais,person
B Aquaro-Deodati,person
Giovanna Altamura,person
Gino Carucci,person
Rita Ferroni,person
Fernanda Luzio Santoro,person
Erberto Landi,person
Mario Palladini,person
Francesco Pennini,person
Giulio Pastore,person
Ivan Matteo Lombardo,person
Serafino Romualdi,person
Gabriele Villa,person
Luigi Antonini,person
Vanni Buscemi Montana,person
Frank Andolina,person
Girolamo Valenti,person
Walter P Reuther,person
Frank Bellanca,person
Rolando Cirri,person
Enzo De Luca,person
Ruggero Pietro Situlin,person
Angiolo Silvio Novaro,person
Pina Ballario,person
Franco Caburi,person
A Gariboldi,person
Gino Gazzini Roner,person
Guido Mazzaraco,person
Paolo Mantegazza,person
Dario Arfelli,person
Guglielmo Giannini,person
Guelfo Civinini,person
Iginio Fuga,person
Giuseppe Colli,person
Benedetto Ciaceri,person
Ugo Vittori,person
Aldo De Dominicis,person
Anthony Scardino,person
Olga Gallot,person
Carlo Sabatini,person
Paola Panichi,person
Achille Campanile,person
Arnaldo Gariboldi,person
Girolamo Rovetta,person
Ferrante Aporti,person
Mario Buzzichini,person
Agostino de Biasi,person
Alfonso Carpentieri,person
Lalla Romano,person
Carlo Poerio,person
Lorenzo Lucarelli,person
Augusto Iandolo,person
Luigi Varallo,person
Giovanni P D'Araio,person
Ferrante Alvaro de Torres,person
Attilio Rovinelli,person
Edmondo De Amicis,person
Aldo Palazzeschi,person
Enrico Ragusa,person
Mario Puccini,person
A Marchi,person
G Isola,person
Pasquale Ruocco,person
Piero Fortunato,person
Maria Luisa Fiumi,person
Maria Sacconi,person
Pio Sterbini,person
Giovanni Banfi,person
Mario Brunetti,person
Padre Alberto Scotton,person
Giovanni Marradi,person
Vittoria Aganoor,person
Aristide Bosi,person
Stelio Tommei,person
Antonio Selva,person
M Menicucci,person
Roberto Landi,person
Pierluigi Manfredini,person
Dario Cecchi,person
Gian Mirola,person
Carlo Nerini,person
Anatolio Della Maggiora,person
Thomas Russo,person
Giuseppe Tusiani,person
G Altini,person
Santo Casillo,person
A Violante,person
A Setti,person
Elisa Trapani,person
Vittorio Cerroni,person
A Podda,person
Alessandro Manzoni,person
Milena Baldazzi,person
G Fontana,person
Vittorio Bisi,person
Giuseppe Capogreco,person
Silvio Pellico,person
Massimo d'Azeglio,person
Dina Pollak,person
G Di Gioia,person
Pietro Fortunato,person
Onorio Ruotolo,person
Rosa Trillo Clough,person
Luigi Brunetti,person
Carmine Sampugnaro,person
G Moccagatta,person
G Angerissola,person
G Giardini,person
Genuzio Bentini,person
F Rizzatti,person
Bela Bak,person
Stantino Re,person
Marlen D,person
F Fasolo,person
G Maugeri,person
S Bertoldi,person
A Miotto,person
Vittoria Belluschi,person
G Pullon,person
R Wirkman,person
A Grimaldi,person
G Poggi,person
Mario Musella,person
Mino Caudana,person
Matilde Serao,person
Academy Awards,institution
Alberto Denti,person
All American Press,institution
Amalgamated Clothing Workers of America,institution
Amedeo d'Aosta,person
Annabella,institution
Antonio Margheriti,person
Antonio Salandra,person
Arturo Giovannitti,person
Arturo Graf,person
Bernard Wall,person
Borla,institution
Bruno Maffi,person
Carlo Bilotti,person
Carlo Bo,person
Carlo Ponti,person
Carlo Tresca,person
Carosello,institution
Cinecitta,institution
Claudia Cardinale,person
Commercial Radio Service,institution
Compagnia Italiana Cinematografica Lux,institution
Dino De Laurentis,person
Domenico Modugno,person
Dorothy Parker,person
Edward Corsi,person
Elio Petri,person
Elsie Garaventa,person
Enrico Caprili,person
Ester Danesi Traversari,person
Eva Amendola,person
Fauno Film,institution
Franco Cristaldi,person
Frank Capra,person
Generoso Pope,person
Gente,institution
Gioia,institution
Giovanni Schiavo,person
Grazia,institution
Guido Gozzano,person
Il Commercio,institution
Il Fuoco,institution
Il Milione,institution
Il Nuovo Mondo/La Stampa Libera,institution
Il Progresso,institution
Incom,institution
International Ladies Garment Workers Union,institution
Italian Sons of America,institution
Italian-American Labor Council,institution
John Fante,person
John Stainbeck,person
Joseph Catalanotti,person
Joseph L'Episcopo,person
Julius La Rosa,person
L'Italia che scrive,institution
L'Unita,institution
La Donna,institution
La Follia di New York,institution
La Giustizia,institution
La Lettura,institution
La Settimana,institution
Laura Vagliasindi,person
Leonard Covello,person
Liliana Bonini,person
Lydia Magliano,person
Marcello Mastroianni,person
Mario Monicelli,person
Metro-Goldwyn-Mayer,institution
Michael Moore,person
Michelangelo Antonioni,person
Mike Bongiorno,person
Nicola Fiorelli,person
Novella,institution
Nuovi Argomenti,institution
Perry Como,person
Pettinella Advertising Company,institution
Pietro Di Donato,person
Pietro Germi,person
Renato Guttuso,person
Salvatore Castagna,person
Salvatore Ninfo,person
Sanremo Festival,institution
Sophia Loren,person
St John's University,institution
Suso Cecchi D'Amico,person
The Italian Tribune,institution
The Julius La Rosa Show,institution
Vamba,person
WNHC,institution
William Saroyan,person
Leonardo Annual Magazine,institution
Libero Andreotti,person
Luigi Barzini,person
Paolo Boselli,person
Roberto Bracco,person
Nicol˜ Brunori,person
Don Gelasio Caetani,person
Antonio Calitri,person
Ercole Cantelmo,person
Fernando Ciavatta,person
Auro D'Alba,person
Gabriele d'Annunzio,person
Guido da Verona,person
Agostino de Biasi,person
Pasquale de Biasi,person
Giacomo N. de Martino,person
Paolo de Vecchi,person
Salvatore di Giacomo,person
Favonio di Giura,person
Aldo di Leo,person
Giuseppe Errico,person
Michele Falanga,person
A. Frabasilis,person
Francesco Galante,person
Giulio Gatti-Casazza,person
Arturo Giovannitti,person
Ernesto Grasso,person
Franco Lalli,person
Aldo Lazzarini,person
Antonio Locatelli,person
Achille Marcolongo,person
Domenico Marino,person
Armando Mazza,person
Paolo Michetti,person
A. Mungo,person
G. Mungo,person
Giovanni Papini,person
Luigi Pirandello,person
Edmondo Pizzella,person
Giuseppe Prezzolini,person
Luigi Rava,person
Corrado Ricci,person
Semplicio Righi,person
Luigi Roversi,person
Onorio Ruotolo,person
Francesco Sisca,person
Nino Sparacino,person
Italo Stanco,person
Domenico Trentacoste,person
Ernesto Valentini,person
Gianni Viafora,person
Vincenzo Volpe,person
Corrado Alvaro,person
Ugo Betti,person
Massimo Bontempelli,person
Libero Bovio,person
Anton Giulio Bragaglia,person
Roberto Bracco,person
Achille Campanile,person
Lucio D'Ambra,person
Ernesto Daquanno,person
Grazia Deledda,person
Matilde Serao,person
Annie Vivanti,person
Dino Falconi,person
Angelo Frattini,person
Guido Milanesi,person
Alfredo Panzini,person
Luigi Pirandello,person
Ferdinando Russo,person
Giuseppe Villaroel,person
Giuseppina Ferioli,person
Henri Duvernois,person
Alfredo Capus,person
Paul Laffitte,person
Leonida Andrejeff,person
Sandro Sandri,person
Ernesto Daquanno,person
Massimo Bontempelli,person
Lorenzo Gigli,person
Luigi Pirandello,person
Carlo Salsa,person
Ugo Betti,person
Leo Longanesi,person
Cesare Zavattini,person
Leonardo Sinisgalli,person
Leonida Repaci,person
Vittorio Gorresio,person
Luigi Chiarelli,person
Giuseppe Marotta,person
Gian Gaspare Napolitano,person
Arturo Tofanelli,person
Ercole Patti,person
Vitaliano Brancati,person
Alessandro Bonsanti,person
Vincenzo Talarico,person
Achille Campanile,person
Marcello Girosi,person
Panorama,institution
Fortuna Publishing,institution
Conrad Nagel Theater,institution
Le maschere,institution
Giuliano Gerbi,person
Carlo Vinti,person
Giuliano Gerbi,person
WABD,institution
WOR,institution
WABC,institution
WATV,institution
Aldo Aldi,person
Voice of America,institution
Renzo Renzi,person
Roberto Campa,person
Mariella de Pisa,person
Luigi Racca,person
Edoardo Vergara-Caffarelli,person
Giorgio Tagliacozzo,person
Marcello Maestro,person
Gian Carlo Rossini,person
Erberto Landi Enterprises,institution
Landi Advertisement Co,institution
Claudio Villa,person
Gino Latila,person
Carla Boni,person
Italclub Inc,institution
Neapolitan Song Festival,institution
Cantagiro,institution
Connie Francis,person
WHOM,institution
Orietta Berti,person
Peppino Di Capri,person
Iva Zanicchi,person
Renato Carosone,person
Rita Pavone,person
WBNX,institution
WNCW,institution
CBS,institution
Jimmy Roselli,person
Milva,person
Luciano Tajoli,person
Nino Taranto,person
Sergio Bruni,person
Achille Togliani,person
Giuseppe Anedda,person
Luciano Virgili,person
Marino Marini,person
Tullio Pane,person
