Pietro Novasio******
Franco Lalli******
E. Mattia
Argentina Brunetti***
G. Moccagatta
G. Angerissola
G. Giardini
Genuzio Bentini**
F. Rizzatti
Bela Bak
Stantino Re
Marlen D.
Flavia Steno****
F. Fasolo
G. D’Attili
Rataplan
G. Maugeri
S. Bertoldi
E. Garaventa*****
A. Miotto
Vittoria Belluschi
G. Pullon
R. Wirkman
A. Grimaldi
Milli Dandolo*
G. Poggi
Dr. Mario Musella
Mino Caudana
Matilde Serao
O. Henry
